avx-nitro  pour 60" f3f (c)JF Sarteur
   0.6473200    0.0019600
   0.6563200    0.0022200
   0.6653100    0.0024700
   0.6742600    0.0027100
   0.6832000    0.0029200
   0.6921300    0.0031300
   0.7010500    0.0033000
   0.7099900    0.0034600
   0.7189200    0.0036100
   0.7278600    0.0037400
   0.7367900    0.0038400
   0.7457300    0.0039400
   0.7546900    0.0040100
   0.7636500    0.0040700
   0.7726200    0.0041300
   0.7815900    0.0041600
   0.7905700    0.0041800
   0.7995500    0.0042000
   0.8085300    0.0042000
   0.8175100    0.0041800
   0.8264700    0.0041700
   0.8354300    0.0041300
   0.8443900    0.0040800
   0.8533600    0.0040200
   0.8623300    0.0039400
   0.8712900    0.0038400
   0.8802300    0.0037500
   0.8891500    0.0036200
   0.8980800    0.0034800
   0.9070100    0.0033300
   0.9159200    0.0031500
   0.9248100    0.0029400
   0.9337100    0.0027300
   0.9426000    0.0024800
   0.9514200    0.0022200
   0.9601200    0.0019400
   0.9686300    0.0016200
   0.9767500    0.0012800
   0.9842600    0.0009000
   0.9909500    0.0004800
   0.9967100    0.0000200
   1.0000000   -0.0002700
