HM1001  NF-Leistungsprofil
   0.3665537   -0.0196617
   0.3726807   -0.0194666
   0.3788287   -0.0192685
   0.3849947   -0.0190675
   0.3911797   -0.0188634
   0.3973807   -0.0186553
   0.4035987   -0.0184442
   0.4098317   -0.0182281
   0.4160786   -0.0180080
   0.4223406   -0.0177839
   0.4286146   -0.0175578
   0.4349016   -0.0173286
   0.4411996   -0.0170985
   0.4475086   -0.0168664
   0.4538256   -0.0166332
   0.4601506   -0.0163971
   0.4664806   -0.0161600
   0.4728156   -0.0159198
   0.4791536   -0.0156777
   0.4854935   -0.0154326
   0.4918365   -0.0151874
   0.4981815   -0.0149393
   0.5045275   -0.0146911
   0.5108735   -0.0144420
   0.5172175   -0.0141919
   0.5235605   -0.0139407
   0.5298984   -0.0136886
   0.5362314   -0.0134344
   0.5425574   -0.0131803
   0.5488774   -0.0129252
   0.5551884   -0.0126700
   0.5614894   -0.0124149
   0.5677813   -0.0121608
   0.5740623   -0.0119077
   0.5803313   -0.0116546
   0.5865873   -0.0114024
   0.5928303   -0.0111513
   0.5990593   -0.0109012
   0.6052722   -0.0106521
   0.6114692   -0.0104030
   0.6176482   -0.0101560
   0.6238072   -0.0099089
   0.6299452   -0.0096618
   0.6360622   -0.0094168
   0.6421572   -0.0091717
   0.6482291   -0.0089286
   0.6542761   -0.0086856
   0.6602991   -0.0084446
   0.6662961   -0.0082055
   0.6722661   -0.0079695
   0.6782091   -0.0077345
   0.6841241   -0.0075045
   0.6900090   -0.0072765
   0.6958640   -0.0070526
   0.7016880   -0.0068306
   0.7074790   -0.0066117
   0.7132370   -0.0063937
   0.7189610   -0.0061778
   0.7246490   -0.0059629
   0.7303010   -0.0057510
   0.7359160   -0.0055411
   0.7414910   -0.0053352
   0.7470279   -0.0051323
   0.7525239   -0.0049335
   0.7579789   -0.0047376
   0.7633929   -0.0045468
   0.7687639   -0.0043590
   0.7740939   -0.0041742
   0.7793789   -0.0039944
   0.7846199   -0.0038176
   0.7898149   -0.0036439
   0.7949629   -0.0034741
   0.8000639   -0.0033074
   0.8051159   -0.0031447
   0.8101189   -0.0029860
   0.8150709   -0.0028324
   0.8199729   -0.0026827
   0.8248239   -0.0025391
   0.8296219   -0.0023994
   0.8343669   -0.0022638
   0.8390569   -0.0021323
   0.8436940   -0.0020037
   0.8482740   -0.0018792
   0.8527990   -0.0017576
   0.8572670   -0.0016401
   0.8616780   -0.0015266
   0.8660310   -0.0014172
   0.8703260   -0.0013117
   0.8745620   -0.0012103
   0.8787370   -0.0011139
   0.8828521   -0.0010215
   0.8869031   -0.0009331
   0.8908921   -0.0008488
   0.8948181   -0.0007695
   0.8986791   -0.0006932
   0.9024761   -0.0006199
   0.9062072   -0.0005506
   0.9098742   -0.0004854
   0.9134742   -0.0004232
   0.9170072   -0.0003650
   0.9204742   -0.0003108
   0.9238743   -0.0002617
   0.9272053   -0.0002175
   0.9304683   -0.0001764
   0.9336623   -0.0001394
   0.9367863   -0.0001053
   0.9398394   -0.0000743
   0.9428224   -0.0000453
   0.9457324   -0.0000193
   0.9485724    0.0000047
   0.9513395    0.0000266
   0.9540345    0.0000455
   0.9566565    0.0000614
   0.9592055    0.0000753
   0.9616805    0.0000871
   0.9640806    0.0000959
   0.9664056    0.0001017
   0.9686556    0.0001064
   0.9708296    0.0001082
   0.9729277    0.0001099
   0.9749487    0.0001116
   0.9768937    0.0001132
   0.9787607    0.0001148
   0.9805517    0.0001164
   0.9822648    0.0001160
   0.9839008    0.0001156
   0.9854588    0.0001121
   0.9869388    0.0001076
   0.9883398    0.0001011
   0.9896629    0.0000945
   0.9909059    0.0000879
   0.9920699    0.0000823
   0.9931539    0.0000767
   0.9941599    0.0000720
   0.9950889    0.0000663
   0.9959419    0.0000596
   0.9967179    0.0000519
   0.9974150    0.0000441
   0.9980270    0.0000353
   0.9985480    0.0000275
   0.9989740    0.0000207
   0.9993030    0.0000148
   0.9995490    0.0000098
   0.9997320    0.0000059
   0.9998740    0.0000030
   0.9999950   -0.0000000
   1.0000000    0.0000000
