MH 54	Martin Hepperle Very low drag coefficient airfoil for high speed model aircraft
   0.9377316   -0.0053687
   0.9437414   -0.0047669
   0.9494913   -0.0041952
   0.9549611   -0.0036435
   0.9601609   -0.0031320
   0.9650808   -0.0026505
   0.9697007   -0.0022191
   0.9740305   -0.0018178
   0.9780604   -0.0014566
   0.9817703   -0.0011455
   0.9851503   -0.0008745
   0.9882102   -0.0006535
   0.9909301   -0.0004627
   0.9933101   -0.0003220
   0.9953301   -0.0002014
   0.9970000   -0.0001209
   0.9983000   -0.0000605
   0.9992400   -0.0000202
   1.0000000    0.0000000
