MH 51	Martin Hepperle Very low drag coefficient airfoil for high speed model aircraft
   0.0008700    0.0040100
   0.0003100    0.0026900
   0.0000200    0.0013500
   0.0000000    0.0000000
   0.0002400   -0.0013500
   0.0007400   -0.0026800
   0.0015000   -0.0039900
   0.0025400   -0.0052700
   0.0038600   -0.0065200
   0.0054700   -0.0077400
   0.0073800   -0.0089400
   0.0095900   -0.0101300
   0.0120800   -0.0113200
   0.0148400   -0.0125000
   0.0178900   -0.0136600
   0.0212000   -0.0148100
   0.0247800   -0.0159500
   0.0286300   -0.0170600
   0.0327400   -0.0181400
   0.0371100   -0.0192100
   0.0417400   -0.0202400
   0.0466300   -0.0212500
   0.0517800   -0.0222200
   0.0571800   -0.0231600
   0.0628400   -0.0240700
   0.0687500   -0.0249400
   0.0749200   -0.0257700
   0.0813400   -0.0265700
   0.0880000   -0.0273400
   0.0949100   -0.0280700
   0.1020500   -0.0287700
   0.1094400   -0.0294400
   0.1170500   -0.0300800
   0.1248900   -0.0306800
   0.1329500   -0.0312500
   0.1412300   -0.0317800
   0.1497200   -0.0322700
   0.1584200   -0.0327400
   0.1673300   -0.0331700
   0.1764300   -0.0335700
   0.1857300   -0.0339400
   0.1952200   -0.0342700
   0.2048900   -0.0345700
   0.2147500   -0.0348200
   0.2247700   -0.0350600
   0.2349600   -0.0352500
   0.2453200   -0.0354200
   0.2558300   -0.0355500
   0.2664900   -0.0356400
   0.2772900   -0.0357100
   0.2882300   -0.0357500
   0.2993100   -0.0357500
   0.3105100   -0.0357300
   0.3218300   -0.0356800
   0.3332600   -0.0355800
   0.3448100   -0.0354700
   0.3564400   -0.0353300
   0.3681700   -0.0351700
   0.3799900   -0.0349700
   0.3918900   -0.0347400
   0.4038600   -0.0345000
   0.4158900   -0.0342300
   0.4279800   -0.0339300
   0.4401200   -0.0336200
   0.4523000   -0.0332800
   0.4645200   -0.0329200
   0.4767600   -0.0325400
   0.4890300   -0.0321400
   0.5013100   -0.0317100
   0.5135900   -0.0312800
   0.5258700   -0.0308200
   0.5381400   -0.0303600
   0.5503900   -0.0298700
   0.5626100   -0.0293600
   0.5748100   -0.0288500
   0.5869600   -0.0283200
   0.5990600   -0.0277800
   0.6111100   -0.0272300
   0.6231000   -0.0266500
   0.6350100   -0.0260800
   0.6468500   -0.0255000
   0.6586000   -0.0249100
   0.6702500   -0.0243000
   0.6818000   -0.0236800
   0.6932500   -0.0230700
   0.7045800   -0.0224400
   0.7157800   -0.0218100
   0.7268600   -0.0211700
   0.7378000   -0.0205200
   0.7485900   -0.0198700
   0.7592400   -0.0192200
   0.7697200   -0.0185600
   0.7800400   -0.0179000
   0.7901900   -0.0172400
   0.8001500   -0.0165700
   0.8099300   -0.0159100
   0.8195000   -0.0152400
   0.8288600   -0.0145600
   0.8380200   -0.0138700
   0.8469700   -0.0131600
   0.8557100   -0.0124200
   0.8642400   -0.0116800
   0.8725700   -0.0109200
   0.8807000   -0.0101500
   0.8886200   -0.0093800
   0.8963200   -0.0086100
   0.9038200   -0.0078600
   0.9111000   -0.0071200
   0.9181600   -0.0064000
   0.9249700   -0.0057200
   0.9315500   -0.0050600
   0.9378800   -0.0044500
   0.9439400   -0.0038800
   0.9497400   -0.0033400
   0.9552600   -0.0028500
   0.9605000   -0.0024100
   0.9654400   -0.0020100
   0.9700800   -0.0016500
   0.9744100   -0.0013300
   0.9784200   -0.0010500
   0.9821000   -0.0008200
   0.9854600   -0.0006300
   0.9884800   -0.0004600
   0.9911500   -0.0003300
   0.9934800   -0.0002300
   0.9954600   -0.0001500
   0.9970800   -0.0000900
   0.9983500   -0.0000500
   0.9992600   -0.0000200
   0.9998100   -0.0000100
   1.0000000    0.0000000
